Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,75973.000000,75973.000000,74305.000000,74800.000000,74800.000000,3811600
2017-10-31,74798.000000,75142.000000,74145.000000,74308.000000,74308.000000,3545700
2017-11-01,74310.000000,75199.000000,73823.000000,73824.000000,73824.000000,3668100
2017-11-02,null,null,null,null,null,null
2017-11-03,73834.000000,74254.000000,73094.000000,73915.000000,73915.000000,4386900
2017-11-06,73911.000000,74445.000000,73830.000000,74311.000000,74311.000000,3297400
2017-11-07,74306.000000,74306.000000,72386.000000,72415.000000,72415.000000,4888900
2017-11-08,72468.000000,74481.000000,72468.000000,74363.000000,74363.000000,3408800
2017-11-09,74363.000000,74363.000000,72795.000000,72931.000000,72931.000000,3303800
2017-11-10,72932.000000,73019.000000,71920.000000,72166.000000,72166.000000,3140100
2017-11-13,72167.000000,72735.000000,71776.000000,72475.000000,72475.000000,2783400
2017-11-14,72442.000000,72838.000000,70825.000000,70827.000000,70827.000000,4352600
2017-11-15,72442.000000,72838.000000,70825.000000,70827.000000,70827.000000,0
2017-11-16,70827.000000,72896.000000,70827.000000,72512.000000,72512.000000,3340900
2017-11-17,72512.000000,73632.000000,72390.000000,73437.000000,73437.000000,2749700
2017-11-20,null,null,null,null,null,null
2017-11-21,73439.000000,75073.000000,73439.000000,74595.000000,74595.000000,3539600
2017-11-22,74611.000000,75019.000000,74242.000000,74519.000000,74519.000000,3410600
2017-11-23,74519.000000,74578.000000,73851.000000,74487.000000,74487.000000,1556800
2017-11-24,74503.000000,74542.000000,74093.000000,74157.000000,74157.000000,2510300
2017-11-27,74157.000000,74157.000000,73159.000000,74059.000000,74059.000000,2810800
2017-11-28,74060.000000,74989.000000,74056.000000,74140.000000,74140.000000,3030700
2017-11-29,74146.000000,74515.000000,72700.000000,72700.000000,72700.000000,3639400
2017-11-30,72700.000000,72700.000000,71215.000000,71971.000000,71971.000000,5348800
2017-12-01,71955.000000,72472.000000,71488.000000,72264.000000,72264.000000,3003100
2017-12-04,72266.000000,73749.000000,72266.000000,73090.000000,73090.000000,3038600
2017-12-05,73090.000000,74166.000000,72319.000000,72546.000000,72546.000000,2913300
